,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Final Region,p1_z,p2_z,p3_z,rating
453,YK Pathan ,2008,57,41,11,810,123,27,713,113,2,3,7,INDIA,0.024820076684251263,0.012755102040816325,4.161314198299867,0.39517350085338526
452,Sharjeel Khan ,2013,25,25,0,812,152,32,716,113,1,6,2,PAK,0.01266006805560153,0.012755102040816325,4.171589048172213,0.3938614053907203
293,MA Ouma ,2004,80,77,5,1501,61,20,2525,59,0,7,6,KENYA,0.09185023406188586,0.0,4.0262408400222665,0.3932914957227219
310,Asad Shafiq ,2010,60,58,4,1336,84,24,1979,67,0,9,5,PAK,0.0645165069064285,0.0,4.0695679724485725,0.3922320861420361
325,NR Mongia ,1994,140,96,33,1272,69,20,1846,68,0,2,4,INDIA,0.1181512418041135,0.0,3.9324487369839987,0.38944352969249646
417,Rashid Khan ,2015,71,56,9,905,60,19,906,99,0,4,6,AFG,0.027742247158764558,0.0,4.0733414792600975,0.38571372469851994
340,D Mongia ,2001,57,51,7,1230,159,27,1721,71,1,4,4,INDIA,0.05990932955623622,0.008503401360544217,3.970365660849202,0.3832954105599384
308,DO Obuya ,2001,74,73,3,1355,93,19,2135,63,0,6,10,KENYA,0.06817672549557316,0.0,3.8810290236847833,0.3753027053603613
375,KD Mills ,2001,170,101,34,1047,54,15,1282,81,0,2,8,NZ,0.07482173710256951,0.0,3.855660146566338,0.37417430233262633
351,Nawroz Mangal ,2009,49,48,6,1139,129,27,1512,75,2,4,4,AFG,0.0451147536925521,0.017006802721088433,3.8837568599340786,0.37363180946501695
302,P Utseya ,2004,164,132,48,1406,68,16,2410,58,0,4,16,ZIM,0.14470596293883692,0.0,3.7074931742921193,0.37338971497438855
347,Mohammad Rafique ,1995,125,106,17,1191,77,13,1663,71,0,2,15,BDESH,0.06171902896673891,0.0,3.8444760179442277,0.3706813818951822
386,PW Borren ,2006,58,50,5,1004,96,22,1176,85,0,5,5,NL,0.033952101158541005,0.0,3.8798924252475775,0.3688020157097551
305,GP Howarth ,1975,70,65,5,1384,76,23,2301,60,0,6,1,NZ,0.08407276743219597,0.0,3.7753253690245936,0.36839790785884585
345,TM Moody ,1987,76,64,12,1211,89,23,1747,69,0,10,6,AUS,0.06938151876502009,0.0,3.798921152580997,0.3678573147364085
352,MH Cross ,2014,52,48,1,1136,114,24,1536,73,2,5,0,SCOT,0.043284701955464445,0.02125850340136054,3.77023340802591,0.36328034468182846
338,Alok Kapali ,2002,69,66,3,1235,115,19,1817,67,1,5,5,BDESH,0.054047951591742575,0.01062925170068027,3.761913507465559,0.3630246288867781
471,Rizwan Cheema ,2008,33,32,1,764,94,24,685,111,0,6,3,CAN,0.012111936617440009,0.0,3.8555237547538734,0.3624448979100704
342,HDPK Dharmasena ,1994,141,87,33,1222,69,22,1879,65,0,4,2,SL,0.1332414329091448,0.0,3.6112005546919974,0.3622520602462491
295,DD Ebrahim ,2001,82,76,6,1443,121,20,2540,56,1,4,8,ZIM,0.09473501519434714,0.008503401360544217,3.673849860550811,0.362101801412997
412,RV Uthappa ,2006,46,42,6,934,86,25,1031,90,0,6,4,INDIA,0.02670379502006013,0.0,3.8216985852626126,0.36201129474660615
319,MS Sinclair ,2000,54,50,4,1304,118,28,2086,62,2,8,8,NZ,0.07127053238942006,0.03401360544217687,3.675668418050342,0.3614623339710218
339,GM Hamilton ,1999,38,38,3,1231,119,35,1847,66,2,7,1,SCOT,0.05506789324337202,0.029761904761904757,3.693763065170666,0.35952964999217324
353,T Mishra ,2006,42,40,7,1128,72,34,1534,73,0,8,4,KENYA,0.049232278009023814,0.0,3.743682468532769,0.3589322604446576
455,JM Davison ,2003,32,32,2,799,111,26,767,104,1,5,5,CAN,0.014232860859136729,0.01062925170068027,3.777871349523936,0.3570763774104395
346,Junaid Siddique ,2007,54,53,1,1196,100,23,1753,68,1,6,6,BDESH,0.04919799677114484,0.012755102040816325,3.6974911080447033,0.3563980387598508
383,SM Patil ,1980,45,42,1,1005,84,24,1223,82,0,9,4,INDIA,0.029733920312850444,0.0,3.7466830884069937,0.3555695156436536
317,Raqibul Hasan ,2008,55,54,7,1308,89,27,2133,61,0,8,6,BDESH,0.07159953097188512,0.0,3.6274766443127926,0.35225543062310355
299,HA Gomes ,1978,83,64,15,1415,101,28,2578,54,1,6,5,WI,0.1362751267659857,0.012755102040816325,3.473899463477471,0.3517796126341701
350,JA Rudolph ,2003,45,39,6,1174,81,35,1725,68,0,7,0,SA,0.06116058322732167,0.0,3.629477057562276,0.35049190170854533
360,VS Solanki ,2000,51,46,5,1097,106,26,1504,72,2,5,2,ENG,0.045014557623210744,0.02125850340136054,3.590923638572236,0.3468524832657072
485,N Pooran ,2019,19,17,3,728,118,52,661,110,1,5,1,WI,0.014244234218110677,0.01062925170068027,3.640752114059363,0.34426886320277983
418,MJ Santner ,2015,69,54,21,898,67,27,1021,87,0,2,3,NZ,0.04315789130520429,0.0,3.5519155802073143,0.3398825184805315
424,TT Bresnan ,2006,85,64,20,871,80,19,965,90,0,1,6,ENG,0.035458633785705705,0.0,3.5639180597042137,0.33956526182536284
355,PL Mommsen ,2010,44,42,6,1115,139,30,1615,69,2,6,2,SCOT,0.04796495428821403,0.02551020408163265,3.4977680306588046,0.33929695276576605
384,KOA Powell ,2009,46,44,0,1005,83,22,1278,78,0,9,4,WI,0.02912915230975792,0.0,3.5639180597042137,0.33838266517870275
344,Noor Ali Zadran ,2009,51,50,1,1216,114,24,1923,63,1,7,4,AFG,0.05312786066454639,0.014880952380952378,3.4829013231001453,0.3373832712747104
464,JA Morkel ,2004,58,43,10,782,97,23,780,100,0,2,1,SA,0.023542853076075513,0.0,3.555279911581445,0.33653195097925737
307,BC Broad ,1987,34,34,0,1361,106,40,2447,55,1,11,2,ENG,0.07436519113404029,0.023384353741496597,3.4032030406832368,0.3350974292870992
377,Gulbadin Naib ,2011,65,56,8,1041,82,21,1424,73,0,5,5,AFG,0.04406269496446788,0.0,3.4549410015448694,0.3309922344644958
409,NT Broom ,2009,39,39,4,943,109,26,1161,81,1,5,7,NZ,0.026408939537510792,0.01062925170068027,3.472671937165288,0.3308397083206369
400,JF Mooney ,2006,64,55,14,963,96,23,1215,79,0,3,6,IRE,0.04053278652065227,0.0,3.458759972293883,0.33068947555838046
405,SF Mire ,2014,47,47,0,955,112,20,1190,80,1,3,4,ZIM,0.025205573693684084,0.0063775510204081625,3.473444824102589,0.330091286051801
426,AC Voges ,2007,31,28,9,870,112,45,998,87,1,4,0,AUS,0.031018879646967996,0.008503401360544217,3.4411654284859283,0.3284598034719944
382,SK Warne ,1993,194,107,29,1018,55,13,1413,72,0,1,10,AUS,0.08162150927438946,0.0,3.332324762139049,0.32655492802399466
359,ES Szwarczynski ,2006,41,40,3,1102,98,29,1615,68,0,10,2,NL,0.043131276724285496,0.0,3.4068856196197848,0.3263288889821004
369,DS Smith ,2003,47,45,2,1059,107,24,1506,70,1,5,4,WI,0.0382785821674167,0.01062925170068027,3.370241686004252,0.3234884211140257
373,Anamul Haque ,2012,38,35,0,1052,120,30,1488,70,3,3,6,BDESH,0.038026618522455355,0.01913265306122449,3.3479643566350084,0.32255178065812007
320,PN Kirsten ,1991,40,40,6,1293,97,38,2308,56,0,9,0,SA,0.07874913753562647,0.0,3.2919527856494795,0.3222467174229133
362,PA Strang ,1994,95,73,24,1090,47,22,1651,66,0,0,5,ZIM,0.07860667124953175,0.0,3.270675662904977,0.32023239647027935
415,S Dhaniram ,2006,44,41,4,915,92,24,1126,81,0,6,2,CAN,0.026753455617847186,0.0,3.369559726941928,0.3197818923229335
404,MD Marshall ,1980,136,83,19,955,66,14,1246,76,0,2,5,WI,0.05421776919456009,0.0,3.299772582897459,0.3183938139853585
394,Javed Ahmadi ,2010,44,41,0,976,81,23,1291,75,0,7,2,AFG,0.029395735555829503,0.0,3.3279602241401767,0.3163893608896017
442,CK Coventry ,2003,39,35,1,831,194,24,937,88,1,3,5,ZIM,0.019674161277398218,0.0063775510204081625,3.3246868206410216,0.3151608706358372
454,AT Carey ,2018,29,26,6,804,85,40,874,91,0,4,1,AUS,0.022536748243764587,0.0,3.3263235223905996,0.3149549314770897
398,Fawad Alam ,2007,38,36,12,966,114,40,1297,74,1,6,3,PAK,0.04419401812152743,0.012755102040816325,3.2499441074103332,0.3136533873242465
435,WB Phillips ,1982,48,41,6,852,75,24,994,85,0,6,1,AUS,0.025814117467772,0.0,3.2924983528993383,0.31240733572005414
420,KL Rahul ,2016,26,25,4,889,111,42,1098,80,3,5,2,INDIA,0.026543209637786242,0.03188775510204081,3.233395234164609,0.31149057991814305
411,CM Spearman ,1995,51,50,0,936,86,18,1202,77,0,5,6,NZ,0.02490627477331699,0.0,3.276676902653426,0.31075967962549955
421,JWA Taylor ,2011,27,26,5,887,101,42,1107,80,1,7,2,ENG,0.027831208007095213,0.014880952380952378,3.226121004166488,0.30866851646506055
403,RR Watson ,2006,35,35,4,956,123,30,1286,74,1,6,4,SCOT,0.030199721524917133,0.012755102040816325,3.216300793669025,0.30789575245755074
422,J Srinath ,1991,229,121,38,883,53,10,1109,79,0,1,19,INDIA,0.058214100471277,0.0,3.1714278873681194,0.30715056197831125
376,JM How ,2005,41,37,1,1046,139,29,1572,66,1,7,3,NZ,0.041982889789830835,0.014880952380952378,3.1386483884390874,0.3031409420928164
387,NFI McCallum ,2006,43,42,6,1002,121,27,1451,69,2,4,3,SCOT,0.0378828169027159,0.017006802721088433,3.1432857100628895,0.30310599857735643
413,W Barresi ,2010,32,31,5,927,137,35,1225,75,1,6,4,NL,0.030600436733300932,0.012755102040816325,3.1608802538708436,0.30279325110388716
381,AG Prince ,2002,52,41,12,1018,89,35,1502,67,0,3,4,SA,0.06172625818681547,0.0,3.1009133203238375,0.3012193210908306
477,DT Johnston ,2006,67,53,15,743,45,19,785,94,0,0,3,IRE,0.02266360494001249,0.0,3.17529232205462,0.3008693423866731
440,CA Ingram ,2010,31,29,3,843,124,32,1024,82,3,3,5,SA,0.02263252389828206,0.01913265306122449,3.14274014281303,0.30050357042938447
366,Asif Mujtaba ,1986,66,55,14,1068,113,26,1671,63,1,6,8,PAK,0.06501670447134354,0.012755102040816325,3.058995569959667,0.29970552898535463
393,TLW Cooper ,2010,23,22,2,976,101,48,1391,70,1,8,0,NL,0.03381838361011854,0.017006802721088433,3.106096209197498,0.29887236983676907
316,Javed Omar ,1995,59,59,4,1312,85,23,2528,51,0,10,2,BDESH,0.07764163943829275,0.0,3.0420829852140367,0.2986970288503487
416,AJ Hall ,1999,88,56,13,905,81,21,1206,75,0,3,5,SA,0.05072798982906755,0.0,3.0858647570152256,0.2977585785931887
547,LOB Cann ,2006,26,25,3,590,52,26,504,117,0,1,3,BMUDA,0.0075423327932507365,0.0,3.1383756048141582,0.2945953436567559
368,Hashmatullah Shahidi ,2013,39,39,6,1062,97,32,1667,63,0,9,4,AFG,0.04666926623895103,0.0,3.0418102015891066,0.2928846852445572
414,AN Kervezee ,2006,39,36,3,924,92,28,1263,73,0,4,2,NL,0.030939035904211612,0.0,3.0666335114576944,0.2922646445421444
397,Waqar Younis ,1989,262,139,45,969,37,10,1445,67,0,0,15,PAK,0.08683007024757473,0.0,2.9516552135499,0.29196605373552337
468,Liton Das ,2015,33,33,2,768,121,24,871,88,1,3,4,BDESH,0.015400725246409121,0.0063775510204081625,3.072634751206143,0.29081579311973477
523,C de Grandhomme ,2012,38,29,6,633,74,27,590,107,0,3,2,NZ,0.013569982819505243,0.0,3.0793179500169163,0.2902043973116662
367,DW Randall ,1976,49,45,5,1067,88,26,1702,62,0,5,4,ENG,0.04890304919662001,0.0,3.0076213205979405,0.2901081286121878
388,Khaled Mahmud ,1998,77,72,3,991,50,14,1461,67,0,1,9,BDESH,0.03578933606971746,0.0,3.0186690574075863,0.2886900464278714
370,JK Kamande ,1999,86,72,11,1055,74,17,1685,62,0,3,8,KENYA,0.05605696106021587,0.0,2.9737961511066797,0.28828482383279924
329,Shoaib Mohammad ,1984,63,58,6,1269,126,24,2492,50,1,8,8,PAK,0.08537147149365654,0.017006802721088433,2.884686833629702,0.2878205192305907
430,GO Jones ,2004,51,43,8,862,80,24,1117,77,0,4,1,ENG,0.030860020989234696,0.0,3.0176233868453566,0.2876713698175971
503,TG Southee ,2008,140,85,32,676,55,12,686,98,0,1,12,NZ,0.026344014694785,0.0,3.0118949307218363,0.2862924511124258
358,HS Modi ,1996,63,56,9,1109,78,23,1906,58,0,5,5,KENYA,0.06257548433886628,0.0,2.9243313871194596,0.28488175703800656
515,LE Plunkett ,2005,89,50,19,646,56,20,629,102,0,1,3,ENG,0.025487375138706633,0.0,2.9957097689760177,0.2846203839597277
478,Manzoor Elahi ,1984,54,46,13,741,50,22,827,89,0,1,1,PAK,0.022200658579186218,0.0,2.9983012134128484,0.28424838773219196
529,AM Blignaut ,1999,54,41,8,626,63,18,589,106,0,5,3,ZIM,0.01293675839598397,0.0,3.0168050359705676,0.2842461477322604
395,Naeem Islam ,2008,59,51,15,975,84,27,1473,66,0,5,5,BDESH,0.05310755438394918,0.0,2.9256043773691305,0.28323169687827
399,SA Thomson ,1990,56,52,10,964,83,22,1427,67,0,5,2,NZ,0.039753112833095974,0.0,2.936424794491335,0.28174740099563456
361,B Zuiderent ,1996,57,56,10,1097,77,23,1873,58,0,8,7,NL,0.05554122297443563,0.0,2.892688486627635,0.28061140914140015
429,HK Badani ,2000,40,36,10,867,100,33,1180,73,1,4,1,INDIA,0.03496409987728376,0.008503401360544217,2.87745806756907,0.27653554800286245
434,RA Harper ,1983,105,73,20,855,45,16,1162,73,0,0,5,WI,0.04451652421971989,0.0,2.8376316583293595,0.2734081678945996
443,Anshuman Rath ,2014,18,18,2,828,143,51,1080,76,1,7,1,HKG,0.021557810544225453,0.014880952380952378,2.8609546582608334,0.2733826644214071
391,MJ Horne ,1997,50,48,0,980,74,20,1515,64,0,5,3,NZ,0.03418223900530942,0.0,2.851498159263277,0.2727727205356343
458,GB Hogg ,1996,123,65,26,790,71,20,1004,78,0,2,9,AUS,0.05640080947372991,0.0,2.8014878280261977,0.27225207471454244
493,Mohammad Rizwan ,2015,32,28,7,705,115,33,787,89,2,3,1,PAK,0.018535835391266672,0.012755102040816325,2.8526347577004834,0.2717429031572519
489,IJ Harvey ,1997,73,51,11,715,48,17,811,88,0,0,2,AUS,0.022854097191329203,0.0,2.8605909467609276,0.2715056226618475
419,TD Paine ,2009,35,35,3,890,111,27,1257,70,1,5,1,AUS,0.026566831229501365,0.01062925170068027,2.83240330551821,0.27105549888322633
441,BM McMillan ,1991,78,52,16,841,127,23,1147,73,1,0,3,SA,0.0467674593078253,0.0,2.7911675142163648,0.26948806443648465
446,PJ Hughes ,2013,25,24,1,826,138,35,1100,75,2,4,1,AUS,0.02127324633993798,0.017006802721088433,2.8164909273973215,0.26947360225514494
401,GM Ritchie ,1982,44,42,7,959,84,27,1479,64,0,6,2,AUS,0.03953322021860168,0.0,2.790394627279064,0.2680642205288202
433,DL Amiss ,1972,18,18,0,859,137,47,1185,72,4,1,0,ENG,0.02179851594518222,0.008503401360544218,2.8118536057735195,0.2679469481501444
396,DF Watts ,2006,36,35,1,974,101,28,1559,62,1,9,4,SCOT,0.035174990501173196,0.01913265306122449,2.745476257040669,0.26573472064798787
451,DM de Silva ,2016,42,39,7,814,84,25,1073,75,0,4,3,SL,0.025321264237902905,0.0,2.775573383657893,0.264024270639514
526,PSP Handscomb ,2017,22,20,1,632,117,33,649,97,1,4,2,AUS,0.010354752655964807,0.008503401360544217,2.7871212237799097,0.26349831010565666
461,Babar Hayat ,2014,22,22,2,784,89,39,999,78,0,8,3,HKG,0.018836976151143714,0.0,2.780210705281695,0.2632459672563375
428,MA Vermeulen ,2000,43,43,4,868,92,22,1227,70,0,6,4,ZIM,0.02610227325910389,0.0,2.7623888417862994,0.2629384978350307
482,Sohaib Maqsood ,2013,26,25,2,735,89,31,881,83,0,5,1,PAK,0.015719524642587825,0.0,2.773527506470922,0.2620391619310574
492,LJ Wright ,2007,50,39,4,707,52,20,820,86,0,2,5,ENG,0.018501277877461204,0.0,2.764298327160806,0.26169671583770465
425,SHT Kandamby ,2004,39,36,6,870,93,29,1250,69,0,5,2,SL,0.031714174061974625,0.0,2.729200167419874,0.26088654579363446
410,A Kumble ,1990,271,136,47,938,26,10,1536,61,0,0,18,INDIA,0.09548096019587743,0.0,2.6013555752029047,0.260857490400209
431,TT Samaraweera ,1998,53,42,11,862,105,27,1244,69,2,0,4,SL,0.04021140854915964,0.0,2.7041040739263584,0.26012969438129924
466,Abdur Razzak ,2004,153,97,39,779,53,13,1020,76,0,1,12,BDESH,0.046403304613714044,0.0,2.6916469550545763,0.2601228442182705
548,AU Rashid ,2009,99,43,12,588,69,18,574,102,0,1,4,ENG,0.023311610125601116,0.0,2.726745114795509,0.2590872653188825
390,MJ Slater ,1993,42,42,1,987,73,24,1634,60,0,9,3,AUS,0.03701765883890402,0.0,2.6923743780543887,0.2584371912527893
363,G Boycott ,1971,36,34,4,1082,105,36,2020,53,1,9,1,ENG,0.058598124009101867,0.01913265306122449,2.6071749592014006,0.2571910181991415
445,DW Hookes ,1977,39,36,2,826,76,24,1146,72,0,5,3,AUS,0.02406252809380828,0.0,2.7038312903014283,0.2570869635593431
457,Z Khan ,2000,200,101,35,792,34,12,1078,73,0,0,15,INDIA,0.059267264303067176,0.0,2.6285430098208806,0.2566311867255076
496,SM Ervine ,2001,42,34,7,698,100,25,816,85,1,2,5,ZIM,0.01925643207654126,0.004251700680272108,2.697375411178097,0.2561816779792764
427,DJ Richardson ,1991,122,77,33,868,53,19,1298,66,0,1,6,SA,0.06870296206656014,0.0,2.6045380508270823,0.2561516107156607
459,Majid Khan ,1973,23,22,1,786,109,37,1052,74,1,7,1,PAK,0.019715234298470136,0.014880952380952378,2.644364460066793,0.2528046050612118
504,R Ashwin ,2010,111,61,19,675,65,16,776,86,0,1,6,INDIA,0.03144388411388927,0.0,2.6391815711931317,0.2524265338310253
501,Wahab Riaz ,2008,89,64,15,680,54,13,787,86,0,2,12,PAK,0.020728246028943367,0.0,2.658731064313081,0.25225073820439614
438,MAR Samarasekera ,1983,39,39,2,844,76,22,1207,69,0,4,2,SL,0.02323139801494274,0.0,2.6476378635659468,0.25168210207344327
498,Rameez Shahzad ,2016,15,15,2,691,121,53,817,84,2,4,1,UAE,0.013956861208570518,0.017006802721088433,2.6389087875682025,0.2515169411150103
469,Saleem Yousuf ,1982,86,62,19,768,62,17,1024,75,0,4,5,PAK,0.034066663576059975,0.0,2.6187227993234177,0.25100531989095054
408,RS Madugalle ,1979,63,56,5,950,73,18,1574,60,0,3,4,SL,0.04044182267185456,0.0,2.591444436830465,0.24964811420683486
497,PL Symcox ,1993,80,54,13,694,61,16,830,83,0,3,6,SA,0.024153883333501866,0.0,2.6188137271983942,0.24916171623743588
499,PAJ DeFreitas ,1987,103,66,23,690,67,16,823,83,0,1,4,ENG,0.030923011900475028,0.0,2.603719699952294,0.24901637664488008
432,SB Smith ,1983,28,24,2,861,117,39,1319,65,2,8,1,AUS,0.03197679735309982,0.03401360544217687,2.5443892615301227,0.24843694469136593
470,CN Evans ,1992,53,47,5,764,96,18,1006,75,0,2,3,ZIM,0.021678819400029255,0.0,2.605083618076941,0.24741661391702907
487,TP Ura ,2014,26,26,0,718,151,27,892,80,1,2,2,PNG,0.01386214461177127,0.004251700680272108,2.6114485693252973,0.24714655180016018
450,AC Waller ,1987,39,38,3,818,83,23,1172,69,0,4,4,ZIM,0.02358309726936795,0.0,2.5660755597120195,0.24412828659289643
483,MW Machan ,2013,23,22,0,734,114,33,952,77,1,3,1,SCOT,0.0159123882622736,0.0063775510204081625,2.5695308189611272,0.24391156853852483
514,CJ Ferguson ,2009,30,25,9,663,71,41,777,85,0,5,0,AUS,0.02126986195983844,0.0,2.562120197150542,0.24332657422672033
423,Yashpal Sharma ,1978,42,40,9,883,89,28,1401,63,0,4,0,INDIA,0.037028986151890216,0.0,2.5291133785340696,0.2431875124274397
481,PA Patel ,2003,38,34,3,736,95,23,962,76,0,4,2,INDIA,0.018848050211197297,0.0,2.543070807342963,0.24109449585503162
444,PJ Moor ,2014,49,45,5,827,58,20,1225,67,0,4,3,ZIM,0.027075040796284693,0.0,2.519111312286654,0.24039333292510343
385,Rajin Saleh ,2003,43,43,1,1005,108,23,1833,54,1,6,5,BDESH,0.04076630874752023,0.012755102040816325,2.4673278874875324,0.23990117586164847
621,DJ Reekers ,2006,19,19,0,481,104,25,411,117,1,0,3,NL,0.004258102717068753,0.0,2.558574010026458,0.23981682322746517
392,Akram Khan ,1988,44,44,2,976,65,23,1721,56,0,5,3,BDESH,0.03918672416079208,0.0,2.4848769673579985,0.2394581102458309
510,R Powell ,2016,34,31,3,670,101,23,806,83,1,2,2,WI,0.014084408594634647,0.004251700680272108,2.5282495637217925,0.23941565250592586
505,Nizakat Khan ,2014,20,20,0,675,94,33,814,82,0,3,0,HKG,0.01175042956762431,0.0,2.5164289399748463,0.23727950501111117
437,RS Kalpage ,1992,86,69,28,844,51,20,1320,63,0,1,2,SL,0.051663598254135065,0.0,2.4174084841254295,0.23548639603117033
517,AK Markram ,2017,26,24,1,643,67,27,755,85,0,2,1,SA,0.011733093253236892,0.0,2.4848315034205104,0.23432444254755186
490,Muhammad Usman ,2016,30,30,4,713,80,27,928,76,0,3,2,UAE,0.01672905990098603,0.0,2.4635998446134955,0.23327443065085776
513,HE van der Dussen ,2019,18,14,5,664,95,73,811,81,0,7,0,SA,0.023171515207875446,0.0,2.4452324138682413,0.23276225521062882
380,DSBP Kuruppu ,1983,54,52,1,1022,72,20,1978,51,0,4,3,SL,0.04827185079655968,0.0,2.3696713497627635,0.23039309466021618
484,CJ Nevin ,2000,37,36,0,732,74,20,1000,73,0,4,4,NZ,0.016576555589562055,0.0,2.429410963622329,0.23005202148963258
633,MD Shanaka ,2016,22,19,1,468,68,26,404,115,0,3,1,SL,0.00507850408078883,0.0,2.446869115617818,0.22953466771168565
462,R Lamba ,1986,32,31,2,783,102,27,1166,67,1,6,2,INDIA,0.022469106687761625,0.012755102040816325,2.3850836245712816,0.22879930206170848
506,M Muralitharan ,1993,350,162,63,674,33,6,869,77,0,0,25,SL,0.04189461963131641,0.0,2.3594874277653948,0.22825019745062594
537,RJ Ratnayake ,1982,70,55,18,612,33,16,705,86,0,0,4,SL,0.017919256592316583,0.0,2.392857957881773,0.22688811977353787
449,GN Yallop ,1978,30,27,6,823,66,39,1288,63,0,7,1,AUS,0.033538239820654944,0.0,2.35725969482847,0.22648078213038272
465,Wasim Raja ,1973,54,45,10,782,60,22,1168,66,0,2,6,PAK,0.03135473908160762,0.0,2.3464847416437538,0.22506622511839314
522,BMAJ Mendis ,2010,58,44,10,636,72,18,769,82,0,1,2,SL,0.01816500402893184,0.0,2.371035267887411,0.22489536571340174
538,J Botha ,2005,78,50,18,609,46,19,710,85,0,0,2,SA,0.023914674427146933,0.0,2.3534407240794573,0.2243259536162551
551,SB Joshi ,1996,69,45,11,584,61,17,653,89,0,1,4,INDIA,0.017379321339974343,0.0,2.363033614889478,0.2240010571138179
479,AM Samad ,2003,27,27,2,740,130,29,1045,70,1,2,2,CAN,0.01814050756344949,0.004251700680272108,2.3550319618915454,0.2239915535705829
447,AI Kallicharran ,1973,31,28,4,826,78,34,1329,62,0,6,0,WI,0.03120951003624796,0.0,2.3282991666484523,0.22334019946730788
507,IM Chappell ,1971,16,16,2,673,86,48,874,77,0,8,0,AUS,0.014487909585277242,0.0,2.355986704578799,0.2228025071021924
628,MA Leask ,2014,34,28,6,474,59,21,437,108,0,3,1,SCOT,0.00697230648791467,0.0,2.3273898878986876,0.21872678986151053
463,IH Romaine ,2006,35,34,3,783,101,25,1222,64,1,4,5,BMUDA,0.02391398373733071,0.008503401360544217,2.2782888354113733,0.21849673486246712
567,CR Brathwaite ,2011,44,37,3,559,101,16,614,91,1,1,2,WI,0.009725649348347054,0.002125850340136054,2.3127050360899815,0.21816726273124187
472,KWR Fletcher ,1971,24,22,3,757,131,39,1134,66,1,5,0,ENG,0.023418943323043534,0.01062925170068027,2.271469244788135,0.21806505210410237
480,A Vala ,2014,27,27,0,739,104,27,1082,68,1,2,1,PNG,0.017487437319208494,0.004251700680272108,2.284653786659729,0.21729482559127733
439,D Ganga ,1999,35,34,1,843,71,25,1414,59,0,9,5,WI,0.02767133633763144,0.0,2.261239858853278,0.21641446806563994
591,TAM Siriwardana ,2015,27,24,1,516,66,22,525,98,0,3,1,SL,0.006913805060479842,0.0,2.299020390906017,0.21606558930955366
558,BJ Hodge ,2005,25,21,2,575,123,30,657,87,1,3,3,AUS,0.010890797022342271,0.0063775510204081625,2.274333472849895,0.21539608690639428
574,AL Phehlukwayo ,2016,52,32,15,549,69,32,610,90,0,1,3,SA,0.02291985086183447,0.0,2.2463731512946192,0.2141378597687419
502,JR Murray ,1992,55,36,6,678,86,22,929,72,0,5,4,WI,0.025409373235460195,0.0,2.219367572426596,0.2120801473409739
626,SS Iyer ,2017,12,10,0,476,88,47,454,104,0,6,0,INDIA,0.005403911076209482,0.0,2.250646761418515,0.21126443115980015
467,AR White ,2006,61,46,3,776,79,18,1235,62,0,1,4,IRE,0.03070806922966371,0.0,2.187360960434866,0.21008010421897805
436,CWJ Athey ,1980,31,30,3,848,142,31,1495,56,2,4,1,ENG,0.03201001953326056,0.017006802721088433,2.158991463442195,0.21005624554404106
519,Abdul Qadir ,1983,104,68,26,641,41,15,849,75,0,0,6,PAK,0.03019937618000902,0.0,2.1856787947478002,0.20982791287422226
604,AR Nurse ,2016,54,40,14,502,44,19,513,97,0,0,2,WI,0.011893471428565906,0.0,2.2138209720530297,0.20903668229131783
474,AR Cusack ,2007,59,47,14,745,71,22,1159,64,0,2,8,IRE,0.034048337272935957,0.0,2.1677205394399404,0.2088693955304391
685,Mohammad Naveed ,2014,39,34,10,397,45,16,323,122,0,0,2,UAE,0.004521347629028548,0.0,2.2020003483060835,0.2065549997165175
508,DA Marillier ,2000,48,41,4,672,100,18,949,70,1,3,4,ZIM,0.01848410272403091,0.0063775510204081625,2.1386236194474573,0.2041368406020708
573,Mosaddek Hossain ,2016,35,30,10,549,52,27,633,86,0,2,1,BDESH,0.013378523602445798,0.0,2.146534344570414,0.20302825135798208
475,AG Cremer ,2009,96,71,20,744,58,14,1196,62,0,1,7,ZIM,0.03662221589611746,0.0,2.0971605084581704,0.20275859989387202
488,MA Ealham ,1996,64,45,4,716,45,17,1092,65,0,0,4,ENG,0.026926128071905125,0.0,2.1158916507033307,0.20269684634510177
553,Khurram Khan ,2004,16,16,2,582,132,41,725,80,1,3,0,UAE,0.010265377393744425,0.0063775510204081625,2.116800929453096,0.20056258936117466
500,N Deonarine ,2005,31,29,3,682,65,26,989,68,0,4,0,WI,0.01776039793458328,0.0,2.1084355649552573,0.20028778127650604
634,CH Morris ,2013,42,27,4,467,62,20,465,100,0,1,0,SA,0.008778667564305573,0.0,2.123165880701451,0.19998574180905299
509,Rohan Mustafa ,2014,34,33,0,671,109,20,985,68,1,1,3,UAE,0.014967248317742073,0.002125850340136054,2.0744285397140434,0.19688687887301384
716,Asif Ali ,2018,18,14,1,361,52,27,280,128,0,3,0,PAK,0.002958915172736827,0.0,2.1007976234572303,0.1968087465459499
540,AJ Hollioake ,1996,35,30,6,606,83,25,807,75,0,3,1,ENG,0.015792622648139017,0.0,2.066335958841134,0.195987190293389
557,DAS Gunaratne ,2016,31,25,4,575,114,27,724,79,1,1,0,SL,0.013501604527698295,0.002125850340136054,2.065199360403928,0.19575085158382563
512,AC Botha ,2006,42,38,4,666,56,19,970,68,0,2,5,IRE,0.017396864861306635,0.0,2.058970800968037,0.19559887506582407
